index,subset,txt_prompt_orig,txt_prompt_vpAAL
0,alpacaeval-easy,Who created the Superman cartoon character?,Who created deh Supeman cartoon character?
1,alpacaeval-easy,What is Atlantis?,What Atlantis?
2,alpacaeval-easy,what are some good ways to spread ashes?,what some good ways to spread ashes?
3,alpacaeval-easy,"I like to host guests at my home from time to time, and I am gathering  recipes of different dishes and drinks to keep things interesting. I am interested in trying some Ukrainian dishes. Can you give me a recipe for Okroshka?","I like to host guests at ma home from tam to time, and I am gavering  recipes of different dishis and drinks to keep dings interesting. I am interested in trying some Ucranian dishes. Can you give me a recipe for Okroshka?"
5,alpacaeval-easy,I need to get my nephew a birthday gift. I'm thinking of giving him a game for his Nintendo Switch. Can you give me a few options that came out recently?,I gotta get my nephew a burfday gift. I'm thinking of giving him a gam for his Nintendo Switch. Can you give me a few options came out recently?
6,alpacaeval-easy,"What are places to visit in Montgomery, Alabama?","What places to visit in Montgomery, Alabama?"
7,alpacaeval-easy,"Hi, I'd like to play ice hockey. Can you explain how the game works?","Hi, I'd lock to pla ice hockey. Can you explane how deh gam work"
8,alpacaeval-easy,"Hi, I'd like to learn to bake challah. Can you give me a recipe for that?","Hi, Eight lock to learn to back challah. Can you give me a recipe for that?"
9,alpacaeval-easy,"I like to host guests at my home from time to time, and I am gathering  recipes of different dishes and drinks to keep things interesting. I am interested in trying some Hong Kong  dishes. Can you give me a recipe for Tong Sui?","I lock to host guests at my home from tam to time, and I am gatherin  recipes of different dishes and drinks to keep things interesting. I am interested in trying some Hong Kong  dishes. Can you give me a recipe for Tong Sui?"
10,alpacaeval-easy,Can you tell me how to make chocolate chip cookies?,Can you tell me ha to make chocolate chip cookies?
11,alpacaeval-easy,How is oil turned into gasoline?,Ha is oil turned into gasoline?
12,alpacaeval-easy,"Can you write a short story where Hildibrand Manderville somehow gets transformed into Gandalf the Grey and he must work with The Warrior of Light and Nashu to restore his regular, most gentlemanly form.","Can you write a short story where Hildibrand Mandaville somehow get transformed into Gandalf deh Grey and he must work with Deh Warrior of Light and Nashu to restore his regular, most gentlemanly form."
13,alpacaeval-easy,"I'm currently studying Bioengineering in Argentina, focusing on computational neuroscience. I'll be graduating in May, and planning to apply to PhD programs in the US at the end of the year in order to start August 2024. I'm thinking of what to do/study during this year until my program starts. Could you give me ideas? Feel free to ask me for questions which would help you give me better suggestions.","I'm currently studying Bioengineering in Argentina, focusing on computational neuroscience. I'll be graduating in May, and plannin to apply to PhD programs in the US at the end of the year in orda to start August 2024. I'm thinkin of what to do/study during this year until my program starts. Could you give me ideas? Feel free to ask me for questions which woot help you give me better suggestions."
14,alpacaeval-easy,define a new language that contains words that are with numbers and letters such as 'IL9op',defan a new language contain words are wiff numbers and letters such as 'IL9op'
15,alpacaeval-easy,How to improve instance segmentation AP metrics with human knowledge,How to improof instance segmentation AP metrics with human knowledge
16,alpacaeval-easy,who was the black cabinet member who went on to play an important role in the civil rights movement,who wass the black cabinet memba went on to pla an important role in the civil rats movement
17,alpacaeval-easy,explain the basics of area and perimeter,explain the basics of area and peimeter
18,alpacaeval-easy,what language does argentina people speak,what language do argentina people speak
19,alpacaeval-easy,I want you to act as a Tiktok Ads Keywords generator. Your task is to come up with keywords that can be used in Tiktok advertising campaigns. The keywords should be relevant to the target audience and the product or service being advertised. Your responses should not include more than 5 keywords per request.,I want you to act as a Tiktok Ads Keywords generata. Your task is to come up with keywords can be youse in Tiktok advertising campaigns. The keywords shoot be relevant to the target audience and the product or service being advertised. Your responses shoot not include more than 5 no keywords per request.
20,alpacaeval-easy,"write lyrics that only rhyme a little bit (not every verse needs rhyming or exact pacing), for a progressive metal song about loving jesus","write lyrics only rhyme a little bit (not every verse needs rhyming or exact pacing), for a progressive metal song abat loving jesus"
21,alpacaeval-easy,"there used to be a program for winmx called mcma, what does mcma stand for and what does the program do?","it youse to be a program for winmx called mcma, what do mcma stand for and what do the program do?"
22,alpacaeval-easy,is a bannana a fruit or a herb,a bannana a fruit or a herb
23,alpacaeval-easy,what are african governments doing to improve air traffic connectivity,what african governments doing to improof air traffic connectivity
24,alpacaeval-easy,Write a pitch for a horror movie that plays on the island Sylt in northern germany in the 19th century. Include fishermen and a sinister force that drives the inhabitants insane.,Write a pitch for a horror movie play on the island Sylt in northen germany in deh 19th century. Include fishermen and a sinister force drive the inhabitants insane.
